"index","corpus","source_relpath","source_ai","reference_png","source_size_bytes","source_sha256_before","source_sha256_after","override_scale_percent","override_reason","status","applied_scale_percent","output_ai","output_png","output_ai_sha256","output_png_sha256","audit_json","attempts","last_error"
"30","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_4.png","158319","85267b102b3e5a6f0c80a715eb967667088583372dafa94caa5e48d22502a9f2","","","","PENDING","","","","","","","0",""
"31","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_5.png","157003","ee5135f71ff5c2087d6cc8b7b44466c643809729e5bb8aba720a9b9141657686","","","","PENDING","","","","","","","0",""
"32","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_6.png","205077","08ad1ff0945dc79d83442137fcff761a74d72852726b86ff8461370edc6d027c","","","","PENDING","","","","","","","0",""
"33","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_7.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_7.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_7.png","193250","2114e7fc83a7b300e0bc21bedf0a447d4a030f771e96ae8ec550c314974eee64","","","","PENDING","","","","","","","0",""
"34","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_8.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_8.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_8.png","218560","833ebb6addf547586b3fed5d00c3bf790146e56c69732ae476abcba1a75209c2","","","","PENDING","","","","","","","0",""
"35","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2,4_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,4_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,4_1.png","192719","bbefad49157c4fe03eeef40a8838ce7d4c41c010269d2f127e8a15e4fee9b9e2","","","","PENDING","","","","","","","0",""
"36","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2,4_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,4_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,4_4.png","166806","128e79d674af1e97f5d9eb29028428612ae27269a769599f2df22e529c0e7ad4","","","","PENDING","","","","","","","0",""
"37","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2,4_8.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,4_8.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,4_8.png","217776","e9baa74653eb2c18f091f7391011caa2d6ef6df00d322992c618050917dac999","","","","PENDING","","","","","","","0",""
"38","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2,6_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,6_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,6_2.png","165853","d11051b9e2a6d5324b00574e47b49b80f9731c640f99239629f140d504a2866f","","","","PENDING","","","","","","","0",""
"39","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2,6_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,6_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et2,6_3.png","169304","0e687d77ff599198fcd5a1d6296bed662929a7f02d19f0f3eeaa8ff46dc9dff2","","","","PENDING","","","","","","","0",""
