"index","corpus","source_relpath","status","width","height","s_raw","scale_percent","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","error"
"85","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et1_1.ai","OK","485.724422","495.929134","1.796575272","170","2131","1029","10","10","0","0","0","0",""
"86","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et1_2.ai","OK","392.181112","456.119095","2.084816018","200","1778","858","10","10","0","0","0","0",""
"87","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et1_3.ai","OK","298.637802","450.449803","2.375403414","200","1385","676","10","10","0","0","0","0",""
"88","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et1_4.ai","OK","598.944472","601.944894","1.468515555","150","4501","2207","16","16","0","0","0","0",""
"89","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et1_5.ai","OK","545.653138","545.251942","1.616565328","170","3755","1847","17","17","0","0","0","0",""
"90","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2,4_2.ai","OK","392.190597","456.119095","2.084790807","200","1706","829","10","10","0","0","0","0",""
"91","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2,6_4.ai","OK","462.355315","573.598419","1.712215006","170","2540","1239","10","10","0","0","0","0",""
"92","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2_1.ai","OK","454.418308","885.409449","1.208480439","120","3906","1904","10","10","0","0","0","0",""
"93","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2_3.ai","OK","616.118112","709.661388","1.33349878","120","3405","1660","10","10","0","0","0","0",""
"94","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2_5.ai","OK","448.874016","601.944854","1.696327149","170","2867","1402","10","10","0","0","0","0",""
"95","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2_6.ai","OK","457.819882","601.944867","1.679672131","170","2823","1379","10","10","0","0","0","0",""
"96","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2_7.ai","OK","457.819882","392.181099","2.080939935","200","1529","745","10","10","0","0","0","0",""
"97","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et3,5_1.ai","OK","454.418307","885.409449","1.208480439","120","3921","1911","10","10","0","0","0","0",""
"98","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et3,5_2.ai","OK","392.181103","456.119095","2.084816042","200","1680","815","10","10","0","0","0","0",""
"99","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et3,5_3.ai","OK","616.11811","709.661388","1.333498782","120","3396","1656","11","11","0","0","0","0",""
"100","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et3,5_4.ai","OK","462.355315","573.598436","1.71221498","170","2546","1241","10","10","0","0","0","0",""
"101","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et3,5_5.ai","OK","448.874016","601.94485","1.696327154","170","2888","1412","10","10","0","0","0","0",""
"102","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et3,5_6.ai","OK","457.819882","601.944875","1.67967212","170","2828","1382","10","10","0","0","0","0",""
"103","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et3,5_7.ai","OK","457.819882","392.181099","2.080939935","200","1513","737","10","10","0","0","0","0",""
"104","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et4_1.ai","OK","454.418308","911.964191","1.173291682","120","4073","1985","14","14","0","0","0","0",""
"105","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et4_3.ai","OK","644.056103","709.661441","1.304255703","120","3454","1684","13","13","0","0","0","0",""
"106","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et4_4.ai","OK","490.293307","573.598396","1.662716676","170","2585","1261","13","13","0","0","0","0",""
"107","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et4_5.ai","OK","478.286081","601.944867","1.643342057","170","3030","1481","14","14","0","0","0","0",""
"108","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et4_6.ai","OK","485.757874","601.944901","1.630654316","170","2885","1408","13","13","0","0","0","0",""
"109","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et4_7.ai","OK","457.819882","392.181097","2.08093994","200","1513","737","10","10","0","0","0","0",""
"110","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et6_1.ai","OK","454.418307","913.347441","1.171514751","120","3941","1920","13","13","0","0","0","0",""
"111","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et6_2.ai","OK","773.157493","484.057087","1.383935369","150","3603","1758","18","18","0","0","0","0",""
"112","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et6_3.ai","OK","462.355315","709.5364","1.508026931","150","3175","1551","15","15","0","1","0","0",""
"113","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et6_5.ai","OK","476.81201","601.944914","1.64588024","170","2984","1456","13","13","0","0","0","0",""
"114","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et6_6.ai","OK","457.819882","601.944892","1.679672097","170","2822","1378","10","10","0","0","0","0",""
"115","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et6_7.ai","OK","485.757874","392.181097","2.020211997","200","1575","767","13","13","0","0","0","0",""
"116","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et1_1.ai","OK","647.700371","375.173214","1.651998436","170","2667","1306","16","16","0","0","0","0",""
"117","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et1_2.ai","OK","647.700395","555.173232","1.47044525","150","4067","1990","16","16","0","0","0","0",""
"118","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et2,4,6_3.ai","OK","462.355315","550.921288","1.747098917","170","2701","1311","10","10","0","0","0","0",""
"119","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et2,4_6.ai","OK","462.355315","519.740158","1.798743073","170","2349","1138","10","10","0","0","0","0",""
"120","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et2,6_10.ai","OK","533.913371","451.159508","1.796593165","170","2392","1156","10","10","0","0","0","0",""
"121","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et2,6_11.ai","OK","567.929166","481.222441","1.686670219","170","2346","1139","14","14","0","0","0","0",""
"122","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et2,6_8.ai","OK","573.598402","466.890748","1.703878404","170","2410","1166","10","10","0","0","0","0",""
"123","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et2_1.ai","OK","457.819882","554.88974","1.749441912","170","2467","1200","11","11","0","0","0","0",""
"124","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et2_2.ai","OK","446.606305","550.921269","1.777636685","170","2675","1299","10","10","0","0","0","0",""
"125","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et2_4.ai","OK","462.355315","567.929116","1.720739803","170","2469","1196","10","10","0","0","0","0",""
"126","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et2_5.ai","OK","400.121116","392.268034","2.225681437","200","1780","866","10","10","0","0","0","0",""
"127","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et2_7.ai","OK","573.598424","466.890748","1.703878372","170","2515","1218","10","10","0","0","0","0",""
"128","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et2_9.ai","OK","561.851363","454.543308","1.74482488","170","2577","1250","14","14","0","0","0","0",""
"129","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_1.ai","OK","457.819882","554.889764","1.749441875","170","2465","1199","11","11","0","0","0","0",""
"130","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_10.ai","OK","533.913364","451.159508","1.796593177","170","2367","1146","10","10","0","0","0","0",""
"131","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s5_et3,5_11.ai","OK","567.92914","453.284449","1.737871706","170","2282","1108","10","10","0","0","0","0",""
